기관명,소계,2011년 이전,2012년,2013년,2014년
강남구,2885,1944,195,316,430
강동구,883,303,387,134,59
강북구,546,243,88,141,74
강서구,722,219,155,118,230
관악구,1392,430,56,419,487
광진구,682,470,42,83,87
구로구,1607,852,219,349,187
금천구,387,27,17,242,101
노원구,881,481,117,203,80
도봉구,456,197,66,8,185
동대문구,1326,,,,1326
동작구,863,238,93,29,503
마포구,1935,585,108,69,70
서대문구,1126,565,233,214,114
서초구,1625,1172,91,228,134
성동구,993,665,109,118,101
성북구,1408,779,84,304,241
송파구,808,600,99,88,21
양천구,1287,772,161,185,169
영등포구,676,132,121,206,217
용산구,2063,1279,152,201,107
은평구,1890,1365,83,99,343
종로구,746,8,7,599,132
중구,384,25,165,114,80
중랑구,770,,,,770
