구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,1.0,1.0000000000000002,0.5625,1.0,1.0,87.16666666666667,71.42857142857143,100.0,43.841544607190414,85.7915057915058,549898.0,5221.0,0.9125,87.81216827695476
강동구,0.11704312114989734,0.4615384615384616,0.125,0.3301844354475933,0.351171875,84.11764705882354,100.0,100.0,50.495049504950494,84.12769784172663,457042.0,1879.0,0.2769875786271904,94.7136081209825
강북구,0.1540041067761807,0.4615384615384616,0.4375,0.14889788573999102,0.31132812500000007,71.80851063829788,100.0,75.0,54.22661870503597,93.8737040527804,316750.0,1265.0,0.30265371581092665,89.32322028042344
강서구,0.3203285420944559,0.38461538461538464,0.625,0.4242015294646873,0.5054687500000001,91.44981412639405,50.0,81.81818181818183,56.96055684454756,85.10882016036655,595703.0,1617.0,0.4519228412349056,82.63454215496313
관악구,0.4907597535934292,0.6923076923076923,0.5,0.5537561853351327,0.51484375,86.64772727272727,100.0,100.0,50.94433399602386,87.09799470298903,516662.0,3985.0,0.5503334762472509,96.05934385979822
광진구,0.23819301848049285,0.07692307692307693,0.375,0.4444444444444445,0.22773437500000004,80.34934497816593,50.0,71.42857142857143,55.05935556811758,85.16771488469603,365990.0,1581.0,0.27245898296960286,77.35706116154856
구로구,0.28131416837782347,0.6153846153846154,0.4375,0.4210526315789474,0.5863281250000001,72.39999999999999,100.0,100.0,45.835760046592895,83.26256192498231,438308.0,3227.0,0.4683159080682772,90.81367653205874
금천구,0.17864476386036965,0.4615384615384616,0.3125,0.17408906882591096,0.22929687500000007,92.5,85.71428571428571,100.0,55.22260273972602,90.21966527196653,251370.0,1634.0,0.27121383384494846,95.82557915019522
노원구,0.16632443531827518,0.3076923076923077,0.25,0.28834907782276203,0.4125000000000001,89.17525773195877,100.0,80.0,41.139240506329116,82.23435531289375,535495.0,1906.0,0.28497316416666896,88.78942366277516
도봉구,0.0,0.3076923076923077,0.0,0.0,0.009375000000000022,100.0,60.0,100.0,55.18565941101152,83.32097850259451,333495.0,858.0,0.06341346153846154,90.13699667199754
동대문구,0.06570841889117046,0.3076923076923077,0.0625,0.29959514170040485,0.2953125000000001,77.24137931034483,80.0,100.0,64.27090532135452,92.26333493512733,362793.0,2003.0,0.20616167365677662,93.59064089651234
동작구,0.3593429158110883,0.4615384615384616,0.125,0.16644174538911377,0.1273437500000001,53.47222222222222,100.0,100.0,46.22067767158992,84.43367655966081,407802.0,1780.0,0.24793337454773273,86.88441458513117
마포구,0.7392197125256674,0.38461538461538464,0.3125,0.5533063427800269,0.5277343750000001,83.72093023255815,100.0,100.0,43.85877672799602,85.12705530642751,386086.0,1935.0,0.5034751629842158,93.34887933544181
서대문구,0.19096509240246407,0.15384615384615385,0.25,0.12640575798470532,0.07851562499999998,91.74757281553399,100.0,80.0,55.08474576271186,80.9305373525557,325875.0,2121.0,0.15994652584666463,92.23063229367597
서초구,0.73305954825462,0.3076923076923077,0.25,0.48133153396311296,0.41796875,67.02127659574468,100.0,100.0,45.272825499729876,84.34237995824635,434801.0,2835.0,0.4380104279820081,89.71399184226337
성동구,0.026694045174537995,0.3076923076923077,0.0625,0.09806567701304542,0.0,80.95238095238095,100.0,100.0,48.74874874874875,89.66037735849056,307193.0,2679.0,0.09899040597597822,94.85409569110286
성북구,0.14373716632443534,0.0,0.375,0.1722896986054881,0.14140625000000007,76.50273224043715,100.0,85.71428571428571,54.55326460481099,88.55957320687611,454532.0,3003.0,0.16648662298598468,91.68031943347141
송파구,0.4024640657084189,0.38461538461538464,0.25,0.706702654071075,0.70703125,82.20064724919094,100.0,100.0,43.96258503401361,87.68740031897927,680883.0,1586.0,0.4901626708789757,93.60760786537826
양천구,0.01437371663244355,0.23076923076923078,0.0625,0.2712550607287449,0.265625,92.5,100.0,100.0,46.67630057803468,84.03990024937656,,,0.16890460162608384,95.72597707590998
영등포구,0.5708418891170433,0.5384615384615385,1.0,0.6797121007647322,0.7058593750000002,68.28644501278772,75.0,88.23529411764706,46.42233856893543,82.05619412515965,404766.0,2495.0,0.6989749806686628,81.42735958742222
용산구,0.4476386036960986,0.15384615384615385,0.0,0.1417004048582996,0.255859375,86.10271903323263,66.66666666666666,100.0,47.627737226277375,87.52525252525253,246165.0,2063.0,0.1998089074801104,87.74297474221575
은평구,0.1540041067761807,0.0,0.4375,0.2235717498875393,0.30859375,89.8936170212766,100.0,100.0,63.84976525821596,88.36879432624114,482509.0,2962.0,0.224733921332744,100.0
종로구,0.25256673511293637,0.15384615384615385,0.3125,0.31578947368421056,0.24882812500000007,72.88135593220339,66.66666666666666,83.33333333333334,49.763991908293995,86.90112130479103,161984.0,1471.0,0.25670609752866014,81.32471534841358
중구,0.19301848049281317,0.7692307692307694,0.0625,0.4831309041835357,0.24609375,55.55555555555556,100.0,100.0,44.85175202156334,87.92838874680307,136469.0,1544.0,0.3507947807814237,87.83646252526349
중랑구,0.12525667351129366,0.15384615384615385,0.1875,0.3351327035537562,0.4906250000000001,83.33333333333334,100.0,100.0,57.40498034076016,84.96706702828362,400678.0,1068.0,0.25847210618224076,96.28899705289327
